league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,304592,Couhaib Driouech,PSV Eindhoven,Substitute,False,29,5,953.9,3.4911,0.3774,0.5661,0.3514,0.3117,espn_true_per90
eredivisie,240965,Guus Til,PSV Eindhoven,Substitute,False,29,25,2243.4,2.4472,0.5617,0.1605,0.4426,0.7331,espn_true_per90
eredivisie,301279,Kiliann Sildillia,PSV Eindhoven,Substitute,False,21,13,1266.0,1.0663,0.1422,0.2133,0.3333,0.4137,espn_true_per90
eredivisie,325410,Esmir Bajraktarevic,PSV Eindhoven,Substitute,False,28,8,1067.3,3.0356,0.3373,0.3373,0.3889,0.3488,espn_true_per90
eredivisie,207780,Joel Drommel,Sparta Rotterdam,Goalkeeper,True,34,34,3060.0,0.0294,0.0,0.0,0.0,1.0,espn_true_per90
eredivisie,149301,Bruno Martins Indi,Sparta Rotterdam,Center Left Defender,False,27,26,2208.5,0.3668,0.0408,0.0,0.6667,0.7217,espn_true_per90
eredivisie,388712,Marvin Young,Sparta Rotterdam,Center Right Defender,False,33,33,2970.0,0.303,0.0,0.0303,0.1,0.9706,espn_true_per90
eredivisie,138746,Patrick van Aanholt,Sparta Rotterdam,Left Back,False,13,8,680.6,1.3224,0.1322,0.3967,0.3,0.2224,espn_true_per90
eredivisie,262736,Saïd Bakari,Sparta Rotterdam,Right Back,False,13,4,398.6,0.0,0.0,0.0,,0.1303,espn_true_per90
eredivisie,268460,Joshua Kitolano,Sparta Rotterdam,Center Left Midfielder,False,32,30,2628.8,0.9586,0.1712,0.0685,0.3929,0.8591,espn_true_per90
eredivisie,142517,Jens Toornstra,Sparta Rotterdam,Center Right Midfielder,False,17,9,792.0,1.25,0.0,0.0,0.1818,0.2588,espn_true_per90
eredivisie,223138,Tobias Lauritsen,Sparta Rotterdam,Center Left Forward,False,34,34,3041.9,2.1598,0.355,0.1479,0.3699,0.9941,espn_true_per90
eredivisie,297252,Shunsuke Mito,Sparta Rotterdam,Center Right Forward,False,25,23,1869.1,2.5039,0.3371,0.1445,0.3462,0.6108,espn_true_per90
